Model,PR-AUC (OOF cal),ROC-AUC (OOF cal),Precision@10%,Brier (OOF cal),Optimal Threshold,Max F1-Score
catboost,0.2554,0.8694,0.1383,0.0169,0.1665,0.3506
lightgbm,0.231,0.8092,0.1181,0.0174,0.1264,0.3495
