model,stage,pr_auc,roc_auc,precision_at_k,brier
catboost,oof_raw,0.23911959202709354,0.8501649404437503,0.12299065420560748,0.07198588051776668
catboost,oof_calibrated,0.23621490954480584,0.8576528919005022,0.12448598130841121,0.017269527356634097
lightgbm,oof_raw,0.2364749493145821,0.8256981179061543,0.12710280373831775,0.01857012065907618
lightgbm,oof_calibrated,0.23146820786607247,0.836038529298232,0.12822429906542057,0.017424269501876324
